0000F0DD,NOT IN DBLP
00013CE7,NOT IN DBLP
00020DD3,NOT IN DBLP
00021EDE,NOT IN DBLP
00023B1E,NOT IN DBLP
00023BA8,NOT IN DBLP
0002785D,NOT IN DBLP
0002C6F1,NOT IN DBLP
00030B9F,NOT IN DBLP
000380BE,NOT IN DBLP
000393EE,NOT IN DBLP
00039752,Wireless Communications and Mobile Computing
0003D479,NOT IN DBLP
0003E4AA,Synthese
0003F806,NOT IN DBLP
0003FDB2,NOT IN DBLP
000415D1,ITOR
000450D3,NOT IN DBLP
0004579D,NOT IN DBLP
00045A0F,NOT IN DBLP
0004D416,NOT IN DBLP
0004EEA5,NOT IN DBLP
0004FB04,NOT IN DBLP
00050D34,NOT IN DBLP
000523E2,NOT IN DBLP
00054072,NOT IN DBLP
00055328,NOT IN DBLP
0005717D,NOT IN DBLP
0005762B,NOT IN DBLP
00058691,NOT IN DBLP
0005BA98,NOT IN DBLP
0005E9DF,NOT IN DBLP
000609BB,NOT IN DBLP
000622DB,NOT IN DBLP
00062C57,NOT IN DBLP
0006358C,NOT IN DBLP
00064999,NOT IN DBLP
00065366,Pattern Recognition
0006CA53,NOT IN DBLP
0006E854,NOT IN DBLP
0006ED2F,NOT IN DBLP
0006EF67,NOT IN DBLP
000714A5,NOT IN DBLP
00071BE7,NOT IN DBLP
00073AD5,NOT IN DBLP
000758DC,NOT IN DBLP
00076F3A,NOT IN DBLP
0007A1DE,NOT IN DBLP
0007B423,NOT IN DBLP
0007D2AD,NOT IN DBLP
0007DA65,NOT IN DBLP
0007FADE,NOT IN DBLP
00080035,NOT IN DBLP
00081B45,NOT IN DBLP
00081F5C,NOT IN DBLP
00086035,NOT IN DBLP
000889CE,NOT IN DBLP
0008AD16,NOT IN DBLP
0008BE73,NOT IN DBLP
0008D5D7,NOT IN DBLP
0008F7AC,NOT IN DBLP
00093568,NOT IN DBLP
00094688,NOT IN DBLP
000952F4,NOT IN DBLP
00099FA6,NOT IN DBLP
0009C5C2,NOT IN DBLP
000A0E18,NOT IN DBLP
000A1602,NOT IN DBLP
000A1941,NOT IN DBLP
000A4E4E,NOT IN DBLP
000A5C35,NOT IN DBLP
000AD572,NOT IN DBLP
000AFE68,NOT IN DBLP
000B1E4C,NOT IN DBLP
000B30B9,NOT IN DBLP
000B5A6A,NOT IN DBLP
000BB0D1,NOT IN DBLP
000BE8DD,NOT IN DBLP
000BF02E,NOT IN DBLP
000C4072,NOT IN DBLP
000C5DB8,NOT IN DBLP
000C70C5,NOT IN DBLP
000C7B25,Information Storage and Retrieval
000C7F03,NOT IN DBLP
000C9A6E,NOT IN DBLP
000CC500,NOT IN DBLP
000D7C67,NOT IN DBLP
000D91EA,NOT IN DBLP
000DAC31,NOT IN DBLP
000DACAE,NOT IN DBLP
000DBCF2,NOT IN DBLP
000E0D6D,NOT IN DBLP
000E1CFB,NOT IN DBLP
000E2714,NOT IN DBLP
000E6D23,NOT IN DBLP
000E95E3,NOT IN DBLP
000EAC43,NOT IN DBLP
000F0196,NOT IN DBLP
000F08D7,NOT IN DBLP
000F7F17,NOT IN DBLP
000F8768,NOT IN DBLP
